ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV_19065,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella
ASV_19066,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV_19067,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
ASV_19068,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
ASV_19069,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
ASV_19070,Eukaryota,Labyrinthulomycetes,Labyrinthulomycetes_cl,Labyrinthulomycetes_or,Thraustochytriaceae,Ulkenia
ASV_19071,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis
ASV_19072,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Aliikangiella
ASV_19073,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV_19074,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA
ASV_19075,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella
ASV_19076,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea
ASV_19077,Bacteria,Proteobacteria,NA,NA,NA,NA
ASV_19078,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaera
ASV_19079,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_19080,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SCGC_AAA164-E04
ASV_19081,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NA
ASV_19082,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA
ASV_19083,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12
ASV_19084,NA,NA,NA,NA,NA,NA
ASV_19085,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Amphiplicatus
ASV_19086,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_19087,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_19088,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Candidatus_Paraholospora
ASV_19089,Eukaryota,NA,NA,NA,NA,NA
ASV_19090,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA
ASV_19091,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parablastomonas
ASV_19092,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_19093,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Paraperlucidibaca
ASV_19094,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_19095,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_19096,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas
ASV_19097,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia
ASV_19098,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia
ASV_19099,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA
ASV_19100,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV_19101,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,NA,NA
ASV_19102,Eukaryota,Ochrophyta,NA,NA,NA,NA
ASV_19103,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_19104,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus
ASV_19105,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_19106,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula
ASV_19107,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV_19108,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Denitromonas
ASV_19109,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA
ASV_19110,Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peribacteria,NA,NA
ASV_19111,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola
ASV_19112,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,NA,NA
ASV_19113,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azomonas
ASV_19114,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella
ASV_19115,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricola
ASV_19116,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA
ASV_19117,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_19118,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV_19119,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,NA
ASV_19120,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,NA
ASV_19121,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA
ASV_19122,Eukaryota,Cercozoa,Imbricatea,Marimonadida,Marimonadida_fa,Pseudopirsonia
ASV_19123,Bacteria,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,RBG-16-49-21
ASV_19124,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Sva1033,NA
ASV_19125,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Marinobacterium
ASV_19126,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium
ASV_19127,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_19128,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola
ASV_19129,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,NA
ASV_19130,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_19131,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azomonas
ASV_19132,NA,NA,NA,NA,NA,NA
ASV_19133,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group
